City_ID,City,Country,Lat,Lng,Date,Max Temp,Humidity,Cloudiness,Wind Speed
334,duluth,US,46.77,-92.13,1528904100,73.4,46,1,8.05
335,oistins,BB,13.07,-59.53,1528902000,86,66,20,25.28
336,san onofre,CO,9.74,-75.52,1528905495,86.44,93,0,5.3
337,avera,US,33.19,-82.53,1528904100,78.8,83,90,3.74
338,alizai,PK,33.94,71.55,1528905496,89.77,30,0,3.29
339,bela,PK,26.23,66.31,1528905496,93.37,29,36,10.33
340,kalas,PK,33.49,72.96,1528903800,98.6,25,0,4.97
341,gisborne,NZ,-38.66,178.02,1528905498,52.6,86,12,10.67
342,yuryevets,RU,57.32,43.11,1528905498,60.7,69,24,15.03
343,bundaberg,AU,-24.87,152.35,1528905498,64.66,100,88,12.01
344,griffith,AU,-34.29,146.06,1528905499,50.62,90,80,8.88
345,raudeberg,NO,61.99,5.14,1528903200,60.8,71,75,11.41
346,rio gallegos,AR,-51.62,-69.22,1528902000,33.8,86,20,5.82
347,antalaha,MG,-14.9,50.28,1528905500,75.01,85,88,14.14
348,houma,CN,35.63,111.36,1528905500,62.32,58,0,2.51
349,verkhoyansk,RU,67.55,133.39,1528905500,56.29,63,0,2.62
350,donskoye,RU,45.45,41.98,1528902000,80.6,30,0,6.71
351,mogadishu,SO,2.04,45.34,1528905402,78.25,100,64,22.08
352,lewistown,US,40.39,-90.15,1528904100,78.8,53,1,12.75
353,leningradskiy,RU,69.38,178.42,1528905501,33.79,88,0,21.74
354,airai,TL,-8.93,125.41,1528905503,68.98,93,76,1.72
355,nantucket,US,41.28,-70.1,1528904100,69.8,77,90,17.22
356,mount gambier,AU,-37.83,140.78,1528905506,49.72,81,92,6.87
357,katobu,ID,-4.94,122.53,1528905506,77.98,100,24,2.62
358,baiyin,CN,36.55,104.13,1528902000,60.8,31,0,4.47
359,jumla,NP,29.28,82.18,1528905507,37.75,95,88,2.51
360,voh,NC,-20.95,164.69,1528905507,71.59,100,8,14.81
361,kamaishi,JP,39.28,141.86,1528905507,53.95,78,0,12.8
362,jurm,AF,36.86,70.83,1528905508,40.09,100,56,1.61
363,la ronge,CA,55.1,-105.3,1528902000,53.6,76,75,8.05
