Cloudiness,Country,Date,Humidity,Latitude,Longitude,MaxTemp,WindSpeed
0,RU,1553920798,85,68.05,39.51,-5.275999999999954,7.27
92,GY,1553921143,81,8.2,-59.78,26.474000000000046,3.82
24,BR,1553921108,87,-29.45,-50.58,20.0,0.89
0,UY,1553920846,83,-33.69,-53.46,20.824000000000012,7.22
20,SA,1553918400,82,26.33,43.97,19.0,3.1
20,CA,1553918400,73,50.23,-63.6,-4.0,3.6
75,PF,1553920341,66,-17.73,-149.15,30.0,1.5
90,US,1553920500,79,41.79,-107.24,-2.0,5.1
90,AU,1553918400,71,-37.83,140.78,13.0,8.2
88,TZ,1553921145,86,-3.28,30.97,20.224000000000046,1.07
90,KR,1553919000,81,37.57,126.98,10.0,3.1
90,UA,1553918400,70,48.99,24.71,8.0,2.0
0,CA,1553921146,75,51.23,-101.35,-10.775999999999954,1.42
36,BR,1553921074,91,-11.81,-37.61,25.874000000000024,3.57
56,RU,1553921147,54,55.38,91.62,6.574000000000012,2.72
20,GH,1553918400,88,5.79,0.9,28.0,3.6
0,ET,1553921147,38,4.06,38.32,24.824000000000012,4.32
0,NG,1553921147,65,12.25,4.3,21.324000000000012,1.32
75,CA,1553918400,41,63.59,-135.9,6.0,3.1
5,IT,1553921092,76,38.19,15.55,12.220000000000027,1.5
8,SV,1553920830,85,13.59,-89.83,21.110000000000014,1.22
75,BY,1553918400,86,54.51,30.43,5.0,6.0
68,ID,1553920605,100,-0.92,100.36,25.874000000000024,2.47
76,RU,1553921149,75,65.83,31.17,-0.325999999999965,5.62
68,KZ,1553921149,87,49.14,57.13,4.174000000000035,2.12
0,TD,1553921149,27,9.45,18.94,25.424000000000035,2.62
88,RU,1553921150,91,66.0,57.56,-0.2259999999999991,6.82
40,BJ,1553918400,89,6.74,2.66,29.0,4.6
1,US,1553921116,74,64.84,-147.72,4.0,3.1
20,CA,1553918400,41,52.13,-122.14,5.0,1.5
88,MR,1553921150,88,20.52,-13.05,18.574000000000012,1.22
20,CA,1553918400,67,50.1,-91.92,-7.0,3.1
0,ES,1553921018,87,43.48,-8.23,10.560000000000002,2.6
92,CA,1553920280,87,48.65,-53.11,-1.1099999999999568,2.68
40,CA,1553918400,92,46.37,-82.65,-2.0,1.5
88,GL,1553920907,87,66.94,-53.67,-9.375999999999976,1.07
100,GF,1553920857,100,5.38,-52.96,25.124000000000024,5.02
0,AR,1553921152,77,-33.3,-66.34,16.974000000000046,3.97
0,MV,1553920958,100,6.15,73.27,29.024,1.37
44,ML,1553921153,33,20.2,1.01,25.224000000000046,3.87
0,ES,1553920824,70,38.18,-1.13,11.0,2.1
1,US,1553921133,72,29.21,-99.79,21.0,4.6
90,CL,1553918400,100,-41.87,-73.83,10.0,5.1
92,BW,1553921153,28,-21.53,21.93,27.624000000000024,2.97
0,CN,1553918400,11,36.06,103.82,7.0,3.0
